date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:02	71865/71865	---M--	200	added ('OK')	text/css	etag:95b53a84191ea749dbf863da0da929be	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/efb9c18308d22fa74e610f55726f4c4d1661726949.css?h=877eeb3ba4a951f5ab9cdabf1c8eaa83	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/efb9c18308d22fa74e610f55726f4c4d1661726949e5e3.css	(from https://mohdsarfaraz.myportfolio.com/aircel-app)
09:46:02	3910308/3910308	---M--	200	added ('OK')	image/jpeg	etag:01af021ac7f8746d50e59215b96ce99d	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/c7e7158c-37df-44de-aaaf-52d975b8c049.jpg?h=c44c1bdc8ecb8b875024ec5bad1cb930	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/c7e7158c-37df-44de-aaaf-52d975b8c049613e.jpg	(from https://mohdsarfaraz.myportfolio.com/marshall-white-real-estate-website)
09:46:02	3773797/3773797	---M--	200	added ('OK')	image/jpeg	etag:f3b18a98c0c31fe9819d3818f6e40c2c	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/c7e7158c-37df-44de-aaaf-52d975b8c049_rw_1920.jpg?h=b652616e4d967bfc2bcb2796d7be987f	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/c7e7158c-37df-44de-aaaf-52d975b8c049_rw_192036b0.jpg	(from https://mohdsarfaraz.myportfolio.com/marshall-white-real-estate-website)
09:46:03	2149098/2149098	---M--	200	added ('OK')	image/jpeg	etag:81fb3e967e6d6ae7a76b0669776ebf49	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/e03e2b45-ea84-4293-8b30-514a5d592a54.jpg?h=dbbce743ef014ba0a5fd5e587cf00a74	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/e03e2b45-ea84-4293-8b30-514a5d592a5444ef.jpg	(from https://mohdsarfaraz.myportfolio.com/aircel-app)
09:46:03	1117080/1117080	---M--	200	added ('OK')	image/jpeg	etag:b8fbe40f388dcf9f110c2399c3b53752	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/e03e2b45-ea84-4293-8b30-514a5d592a54_rw_1920.jpg?h=a4133dd09d78cf092e1724d0c65f873b	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/e03e2b45-ea84-4293-8b30-514a5d592a54_rw_19203062.jpg	(from https://mohdsarfaraz.myportfolio.com/aircel-app)
09:46:04	2056428/2056428	---M--	200	added ('OK')	image/jpeg	etag:ace0c78d059718cadea5e8b205468f0a	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/0cb5c532-304b-415d-a79c-7089e07d92af.jpg?h=21137dd3239ca44b4ae8d1c312971700	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/0cb5c532-304b-415d-a79c-7089e07d92af24a7.jpg	(from https://mohdsarfaraz.myportfolio.com/aircel-app)
09:46:04	1133051/1133051	---M--	200	added ('OK')	image/jpeg	etag:850c90422c26e031ac7a91526c5fee60	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/0cb5c532-304b-415d-a79c-7089e07d92af_rw_1920.jpg?h=e0066aca48871338d65b2437d0e101b4	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/0cb5c532-304b-415d-a79c-7089e07d92af_rw_192012dc.jpg	(from https://mohdsarfaraz.myportfolio.com/aircel-app)
09:46:04	71875/71875	---M--	200	added ('OK')	text/css	etag:a2761dcc8046ec81e05ef8c32a0bc083	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/9431dda981b9149a559440db03ee4c751661726949.css?h=28c20ed936b0bacd665aa591c05a644c	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/9431dda981b9149a559440db03ee4c7516617269490b9f.css	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:05	2086980/2086980	---M--	200	added ('OK')	image/jpeg	etag:99c97998d4e46f7d3961632f280251e1	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/00ba22c6-c23e-4630-8afa-85e6b9108add.jpg?h=2e786673b38f2a671279cc865c0fc7af	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/00ba22c6-c23e-4630-8afa-85e6b9108add5ad0.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:06	1146803/1146803	---M--	200	added ('OK')	image/jpeg	etag:02ee78326ac63e367baeaec528fd7afd	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/00ba22c6-c23e-4630-8afa-85e6b9108add_rw_1920.jpg?h=4971dea4c8e681e0d87b3ed55bef2d11	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/00ba22c6-c23e-4630-8afa-85e6b9108add_rw_192018d8.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
